,code,total_dur,dur_1,departure_1,arrival_1,carriercode_1,dep_date,transfer,dur_2,departure_2,arrival_2,carriercode_2,arr_date,bookable_seats,currency,total,dest,ontime_proba
18638,73W,0 days 16:35:00,0 days 01:15:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18639,73H,0 days 18:55:00,0 days 01:20:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18640,73J,0 days 20:40:00,0 days 01:25:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18641,73W,0 days 22:00:00,0 days 01:25:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18642,73H,1 days 00:10:00,0 days 01:30:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18643,320,0 days 14:10:00,0 days 01:25:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-14,9,EUR,615.87,ICN,0.79050809
18644,320,0 days 16:45:00,0 days 01:20:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-14,9,EUR,615.87,ICN,0.79050809
18645,77W,0 days 18:15:00,0 days 07:05:00,LGW,DXB,EK,2022-03-14,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-15,9,EUR,623.44,ICN,0.81303734
18646,320,1 days 03:25:00,0 days 01:20:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-15,9,EUR,625.64,ICN,0.81303734
18647,320,1 days 05:35:00,0 days 01:20:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-15,9,EUR,625.64,ICN,0.81303734
18648,320,1 days 08:25:00,0 days 01:20:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-15,9,EUR,625.64,ICN,0.81303734
18649,320,1 days 11:40:00,0 days 01:20:00,LHR,CDG,AF,2022-03-14,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-15,9,EUR,625.64,ICN,0.81303734
18650,E90,0 days 12:50:00,0 days 01:15:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18651,E90,0 days 13:35:00,0 days 01:10:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18652,E90,0 days 20:40:00,0 days 01:10:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18653,E90,0 days 21:20:00,0 days 01:15:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18654,E90,0 days 22:00:00,0 days 01:20:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18655,E90,0 days 22:55:00,0 days 01:10:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,633.47,ICN,0.79050809
18656,E90,1 days 09:55:00,0 days 01:10:00,LCY,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-15,9,EUR,633.47,ICN,0.81303734
18657,32N,0 days 14:45:00,0 days 01:50:00,LHR,MUC,LH,2022-03-14,Y,0 days 10:15:00,MUC,ICN,LH,2022-03-14,9,EUR,645.89,ICN,0.79050809
18658,32N,0 days 17:10:00,0 days 01:50:00,LHR,MUC,LH,2022-03-14,Y,0 days 10:15:00,MUC,ICN,LH,2022-03-14,9,EUR,645.89,ICN,0.79050809
18659,32N,0 days 18:15:00,0 days 01:50:00,LHR,MUC,LH,2022-03-14,Y,0 days 10:15:00,MUC,ICN,LH,2022-03-14,9,EUR,645.89,ICN,0.79050809
18660,32N,0 days 19:20:00,0 days 01:50:00,LHR,MUC,LH,2022-03-14,Y,0 days 10:15:00,MUC,ICN,LH,2022-03-14,9,EUR,645.89,ICN,0.79050809
18661,781,0 days 17:10:00,0 days 06:45:00,LHR,AUH,EY,2022-03-14,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-15,9,EUR,646.77,ICN,0.81303734
18662,781,0 days 21:20:00,0 days 06:40:00,LHR,AUH,EY,2022-03-14,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-15,9,EUR,646.77,ICN,0.81303734
18663,789,1 days 09:30:00,0 days 06:40:00,LHR,AUH,EY,2022-03-14,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-16,9,EUR,646.77,ICN,0.81691968
18664,32N,0 days 12:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18665,32Q,0 days 14:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18666,32N,0 days 15:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18667,32Q,0 days 16:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18668,32Q,0 days 17:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18669,32Q,0 days 18:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-14,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18670,744,0 days 20:00:00,0 days 01:30:00,LHR,FRA,LH,2022-03-14,Y,0 days 13:30:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
